CIS #,Profile,Recommendation / Setting,Status,Policy,Setting definition ID,Configured value,vs v4.0.0,Notes
1.73,Level 1,(L1) Ensure 'Configure the list of names that will bypass the HSTS policy check' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edgev79diff~policy~microsoft_edge_hstspolicybypasslist,Configure the list of names that will bypass the HSTS policy check = Disabled,New,
1.74,Level 1,(L1) Ensure 'Configure the list of types that are excluded from synchronization' is set to 'Enabled' (Automated),In policy,"Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - Profiles, Sign-In and Sync - v1.0.0",device_vendor_msft_policy_config_microsoft_edgev83diff~policy~microsoft_edge_synctypeslistdisabled,Configure the list of types that are excluded from synchronization = Enabled [Configure the list of types that are excluded from synchronization (Device) = passwords],New,CIS: add the word passwords in lower case (case sensitive)
1.75,Level 1,(L1) Ensure 'Configure the Share experience' is set to 'Enabled: Don't allow using the Share experience' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edgev83diff~policy~microsoft_edge_configureshare,Configure the Share experience = Enabled [Configure the Share experience (Device) = Don't allow using the Share experience],Changed,
1.76,Level 1,(L1) Ensure 'Continue running background apps after Microsoft Edge closes' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - User Experience - v1.0.0,device_vendor_msft_policy_config_microsoft_edge~policy~microsoft_edge_backgroundmodeenabled,Continue running background apps after Microsoft Edge closes = Disabled,New,
1.77,Level 1,(L1) Ensure 'Control communication with the Experimentation and Configuration Service' is set to 'Enabled: Disable communication with the Experimentation and Configuration Service' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edge~policy~microsoft_edge_experimentationandconfigurationservicecontrol,Control communication with the Experimentation and Configuration Service = Enabled [Control communication with the Experimentation and Configuration Service (Device) = Disable communication with the Experimentation and Configuration Service],Changed,
1.78,Level 2,(L2) Ensure 'Control use of the Headless Mode' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L2 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edgev92~policy~microsoft_edge_headlessmodeenabled,Control use of the Headless Mode = Disabled,New,
1.79,Level 2,(L2) Ensure 'Control use of the Serial API' is set to 'Enable: Do not allow any site to request access to serial ports via the Serial API' (Automated),In policy,Win - CDW Baseline - SC - CIS L2 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edgev86~policy~microsoft_edge_defaultserialguardsetting,Control use of the Serial API = Enabled [Control use of the Serial API (Device) = Do not allow any site to request access to serial ports via the Serial API],New,
1.80,Level 1,(L1) Ensure 'Control where security restrictions on insecure origins apply' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edge~policy~microsoft_edge_overridesecurityrestrictionsoninsecureorigin,Control where security restrictions on insecure origins apply = Disabled,New,
1.81,Level 2,(L2) Ensure 'Default sensors setting' is set to 'Enabled: Do not allow any site to access sensors' (Automated),In policy,Win - CDW Baseline - SC - CIS L2 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edgev86~policy~microsoft_edge_defaultsensorssetting,Default sensors setting = Enabled [Default sensors setting (Device) = Do not allow any site to access sensors],New,
1.82,Level 1,(L1) Ensure 'Delete old browser data on migration' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - User Experience - v1.0.0,device_vendor_msft_policy_config_microsoft_edgev83diff~policy~microsoft_edge_deletedataonmigration,Delete old browser data on migration = Disabled,New,
1.83,Level 1,(L1) Ensure 'Disable saving browser history' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - User Experience - v1.0.0,device_vendor_msft_policy_config_microsoft_edge~policy~microsoft_edge_savingbrowserhistorydisabled,Disable saving browser history = Disabled,New,
1.84,Level 1,(L1) Ensure 'Disable synchronization of data using Microsoft sync services' is set to 'Enabled' (Automated),In policy,"Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - Profiles, Sign-In and Sync - v1.0.0",device_vendor_msft_policy_config_microsoft_edge~policy~microsoft_edge_syncdisabled,Disable synchronization of data using Microsoft sync services = Enabled,New,
1.85,Level 1,(L1) Ensure 'DNS interception checks enabled' is set to 'Enabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edgev80diff~policy~microsoft_edge_dnsinterceptionchecksenabled,DNS interception checks enabled = Enabled,Unchanged,
1.86,Level 1,(L1) Ensure 'Dynamic Code Settings' is set to 'Enabled: Prevent the browser process from creating dynamic code' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edgev128~policy~microsoft_edge_dynamiccodesettings,Dynamic Code Settings = Enabled [Dynamic Code Settings (Device) = Prevent the browser process from creating dynamic code],Changed,
1.87,Level 1,(L1) Ensure 'Edge 3P SERP Telemetry Enabled' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - User Experience - v1.0.0,device_vendor_msft_policy_config_microsoft_edgev120~policy~microsoft_edge_edge3pserptelemetryenabled,Edge 3P SERP Telemetry Enabled = Disabled,New,
1.88,Level 1,(L1) Ensure 'Edge Wallet E-Tree Enabled' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - Password Management - v1.0.0,device_vendor_msft_policy_config_microsoft_edgev117~policy~microsoft_edge_edgewalletetreeenabled,Edge Wallet E-Tree Enabled = Disabled,New,
1.89,Level 1,(L1) Ensure 'Enable Application Bound Encryption' is set to 'Enabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edgev128.1~policy~microsoft_edge_applicationboundencryptionenabled,Enable Application Bound Encryption = Enabled,Unchanged,
1.90,Level 1,(L1) Ensure 'Enable AutoFill for addresses' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edge~policy~microsoft_edge_autofilladdressenabled,Enable AutoFill for addresses = Disabled,Unchanged,
1.91,Level 1,(L1) Ensure 'Enable AutoFill for payment instruments' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edge~policy~microsoft_edge_autofillcreditcardenabled,Enable AutoFill for payment instruments = Disabled,Unchanged,
1.92,Level 1,(L1) Ensure 'Enable browser legacy extension point blocking' is set to 'Enabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edgev95~policy~microsoft_edge_browserlegacyextensionpointsblockingenabled,Enable browser legacy extension point blocking = Enabled,Unchanged,
1.93,Level 1,(L1) Ensure 'Enable component updates in Microsoft Edge' is set to 'Enabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - Updates - v1.0.0,device_vendor_msft_policy_config_microsoft_edge~policy~microsoft_edge_componentupdatesenabled,Enable component updates in Microsoft Edge = Enabled,Unchanged,
1.94,Level 1,(L1) Ensure 'Enable deleting browser and download history' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - User Experience - v1.0.0,device_vendor_msft_policy_config_microsoft_edge~policy~microsoft_edge_allowdeletingbrowserhistory,Enable deleting browser and download history = Disabled,New,
1.95,Level 2,(L2) Ensure 'Enable Drop feature in Microsoft Edge' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L2 - Microsoft Edge - D - User Experience - v1.0.0,device_vendor_msft_policy_config_microsoft_edgev104~policy~microsoft_edge_edgeedropenabled,Enable Drop feature in Microsoft Edge = Disabled,New,
1.96,Level 1,(L1) Ensure 'Enable globally scoped HTTP auth cache' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - User Experience - v1.0.0,device_vendor_msft_policy_config_microsoft_edgev81diff~policy~microsoft_edge_globallyscopehttpauthcacheenabled,Enable globally scoped HTTP auth cache = Disabled,New,
1.97,Level 2,(L2) Ensure 'Enable guest mode' is set to 'Disabled' (Automated),In policy,"Win - CDW Baseline - SC - CIS L2 - Microsoft Edge - D - Profiles, Sign-In and Sync - v1.0.0",device_vendor_msft_policy_config_microsoft_edge~policy~microsoft_edge_browserguestmodeenabled,Enable guest mode = Disabled,New,
1.98,Level 1,(L1) Ensure 'Enable network prediction' is set to 'Enabled: Don't predict network actions on any network connection' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - User Experience - v1.0.0,device_vendor_msft_policy_config_microsoft_edge~policy~microsoft_edge_networkpredictionoptions,Enable network prediction = Enabled [Enable network prediction (Device) = Don't predict network actions on any network connection],New,
1.99,Level 1,(L1) Ensure 'Enable profile creation from the Identity flyout menu or the Settings page' is set to 'Disabled' (Automated),In policy,"Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - U - Profiles, Sign-In and Sync - v1.0.0",user_vendor_msft_policy_config_microsoft_edge~policy~microsoft_edge_browseraddprofileenabled,Enable profile creation from the Identity flyout menu or the Settings page (User) = Disabled,Unchanged,Scope follows v4.0.0 (user)
1.100,Level 1,(L1) Ensure 'Enable resolution of navigation errors using a web service' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - User Experience - v1.0.0,device_vendor_msft_policy_config_microsoft_edge~policy~microsoft_edge_resolvenavigationerrorsusewebservice,Enable resolution of navigation errors using a web service = Disabled,New,
1.101,Level 2,(L2) Ensure 'Enable search suggestions' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L2 - Microsoft Edge - D - User Experience - v1.0.0,device_vendor_msft_policy_config_microsoft_edge~policy~microsoft_edge_searchsuggestenabled,Enable search suggestions = Disabled,New,
1.102,Level 1,(L1) Ensure 'Enable security warnings for command-line flags' is set to 'Enabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edgev78diff~policy~microsoft_edge_commandlineflagsecuritywarningsenabled,Enable security warnings for command-line flags = Enabled,New,
1.103,Level 1,(L1) Ensure 'Enable site isolation for every site' is set to 'Enabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edge~policy~microsoft_edge_siteperprocess,Enable site isolation for every site = Enabled,Unchanged,
1.104,Level 1,(L1) Ensure 'Enable the Search bar' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - User Experience - v1.0.0,device_vendor_msft_policy_config_microsoft_edgev117~policy~microsoft_edge_searchbarallowed,Enable the Search bar = Disabled,New,
1.105,Level 1,(L1) Ensure 'Enable tab organization suggestions' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - User Experience - v1.0.0,device_vendor_msft_policy_config_microsoft_edgev113~policy~microsoft_edge_tabservicesenabled,Enable tab organization suggestions = Disabled,New,
1.106,Level 2,(L2) Ensure 'Enable Translate' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L2 - Microsoft Edge - D - User Experience - v1.0.0,device_vendor_msft_policy_config_microsoft_edge~policy~microsoft_edge_translateenabled,Enable Translate = Disabled,New,
1.107,Level 1,(L1) Ensure 'Enable upload files from mobile in Microsoft Edge desktop' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - User Experience - v1.0.0,device_vendor_msft_policy_config_microsoft_edgev117~policy~microsoft_edge_uploadfromphoneenabled,Enable upload files from mobile in Microsoft Edge desktop = Disabled,New,
1.108,Level 1,(L1) Ensure 'Enable use of ephemeral profiles' is set to 'Disabled' (Automated),In policy,"Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - U - Profiles, Sign-In and Sync - v1.0.0",user_vendor_msft_policy_config_microsoft_edge~policy~microsoft_edge_forceephemeralprofiles,Enable use of ephemeral profiles (User) = Disabled,Unchanged,Scope follows v4.0.0 (user)
1.109,Level 1,(L1) Ensure 'Enable warnings for insecure forms' is set to 'Enabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edgev86~policy~microsoft_edge_insecureformswarningsenabled,Enable warnings for insecure forms (deprecated) = Enabled,New,Catalog labels this setting deprecated; it is the only variant Intune exposes
1.110,Level 2,(L2) Ensure 'Enable QR Code Generator' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L2 - Microsoft Edge - D - User Experience - v1.0.0,device_vendor_msft_policy_config_microsoft_edgev125~policy~microsoft_edge_qrcodegeneratorenabled,Enable QR Code Generator = Disabled,New,
1.111,Level 1,(L1) Ensure 'Enables DALL-E themes generation' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - User Experience - v1.0.0,device_vendor_msft_policy_config_microsoft_edgev122~policy~microsoft_edge_aigenthemesenabled,Enables DALL-E themes generation = Disabled,New,
1.112,Level 2,(L2) Ensure 'Enforce Bing SafeSearch' is set to 'Enabled: Configure moderate search restrictions in Bing' (Automated),In policy,Win - CDW Baseline - SC - CIS L2 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edge~policy~microsoft_edge_forcebingsafesearch,Enforce Bing SafeSearch = Enabled [Enforce Bing SafeSearch (Device) = Configure moderate search restrictions in Bing],New,
1.113,Level 2,(L2) Ensure 'Enforce Google SafeSearch' is set to 'Enabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L2 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edge~policy~microsoft_edge_forcegooglesafesearch,Enforce Google SafeSearch = Enabled,New,
1.114,Level 1,(L1) Ensure 'Enhance the security state in Microsoft Edge' is set to 'Enabled: Balanced mode' or higher (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edgev98~policy~microsoft_edge_enhancesecuritymode,Enhance the security state in Microsoft Edge = Enabled [Enhance the security state in Microsoft Edge (Device) = Balanced mode],Changed,CIS: Balanced or Strict — v4 value Balanced retained (Strict breaks some sites)
1.115,Level 2,(L2) Ensure 'Enhanced Security Mode configuration for Intranet zone sites' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L2 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edgev107~policy~microsoft_edge_enhancesecuritymodebypassintranet,Enhanced Security Mode configuration for Intranet zone sites = Disabled,New,
1.116,Level 1,(L1) Ensure 'Hide the First-run experience and splash screen' is set to 'Enabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edgev80diff~policy~microsoft_edge_hidefirstrunexperience,Hide the First-run experience and splash screen = Enabled,Unchanged,
1.117,Level 1,(L1) Ensure 'In-app support Enabled' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - User Experience - v1.0.0,device_vendor_msft_policy_config_microsoft_edgev98~policy~microsoft_edge_inappsupportenabled,In-app support Enabled = Disabled,New,
1.118,Level 2,(L2) Ensure 'Live captions allowed' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L2 - Microsoft Edge - D - User Experience - v1.0.0,device_vendor_msft_policy_config_microsoft_edgev103~policy~microsoft_edge_livecaptionsallowed,Live captions allowed = Disabled,New,
1.119,Level 1,(L1) Ensure 'Manage exposure of local IP addressess by WebRTC' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edgev80diff~policy~microsoft_edge_webrtclocalipsallowedurls,Manage exposure of local IP addressess by WebRTC = Disabled,New,
1.120,Level 1,(L1) Ensure 'Notify a user that a browser restart is recommended or required for pending updates' is set to 'Enabled: Required - Show a recurring prompt to the user indicating that a restart is required' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - Updates - v1.0.0,device_vendor_msft_policy_config_microsoft_edge~policy~microsoft_edge_relaunchnotification,Notify a user that a browser restart is recommended or required for pending updates = Enabled [Notify a user that a browser restart is recommended or required for pending updates (Device) = Required - Show a recurring prompt to the user indicating that a restart is required],Changed,
1.121,Level 1,"(L1) Ensure 'Set disk cache size, in bytes' is set to 'Enabled: 250609664' (Automated)",In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - User Experience - v1.0.0,device_vendor_msft_policy_config_microsoft_edge~policy~microsoft_edge_diskcachesize,"Set disk cache size, in bytes = Enabled [Set disk cache size: (Device) = 250609664]",New,
1.122,Level 1,(L1) Ensure 'Set the time period for update notifications' is set to 'Enabled: 86400000' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - Updates - v1.0.0,device_vendor_msft_policy_config_microsoft_edge~policy~microsoft_edge_relaunchnotificationperiod,Set the time period for update notifications = Enabled [Set the time period for update notifications: (Device) = 86400000],Changed,
1.123,Level 1,(L1) Ensure 'Shopping in Microsoft Edge Enabled' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - U - User Experience - v1.0.0,user_vendor_msft_policy_config_microsoft_edgev87~policy~microsoft_edge_edgeshoppingassistantenabled,Shopping in Microsoft Edge Enabled (User) = Disabled,Unchanged,Scope follows v4.0.0 (user)
1.124,Level 2,"(L2) Ensure 'Show an ""Always open"" checkbox in external protocol dialog' is set to 'Disabled' (Automated)",In policy,Win - CDW Baseline - SC - CIS L2 - Microsoft Edge - D - User Experience - v1.0.0,device_vendor_msft_policy_config_microsoft_edgev79diff~policy~microsoft_edge_externalprotocoldialogshowalwaysopencheckbox,"Show an ""Always open"" checkbox in external protocol dialog = Disabled",New,
1.125,Level 1,(L1) Ensure 'Show Microsoft Rewards experiences' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - U - User Experience - v1.0.0,user_vendor_msft_policy_config_microsoft_edgev88~policy~microsoft_edge_showmicrosoftrewards,Show Microsoft Rewards experiences (User) = Disabled,Unchanged,Scope follows v4.0.0 (user)
1.126,Level 1,(L1) Ensure 'Show the Reload in Internet Explorer mode button in the toolbar' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edgev96~policy~microsoft_edge_internetexplorermodetoolbarbuttonenabled,Show the Reload in Internet Explorer mode button in the toolbar = Disabled,Unchanged,
1.127,Level 1,(L1) Ensure 'Specifies whether SharedArrayBuffers can be used in a non cross-origin-isolated context' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edgev111~policy~microsoft_edge_sharedarraybufferunrestrictedaccessallowed,Specifies whether SharedArrayBuffers can be used in a non cross-origin-isolated context = Disabled,New,
1.128,Level 2,(L2) Ensure 'Specify if online OCSP/CRL checks are required for local trust anchors' is set to 'Enabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L2 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edge~policy~microsoft_edge_requireonlinerevocationchecksforlocalanchors,Specify if online OCSP/CRL checks are required for local trust anchors = Enabled,New,
1.129,Level 2,(L2) Ensure 'Spell checking provided by Microsoft Editor' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L2 - Microsoft Edge - D - User Experience - v1.0.0,device_vendor_msft_policy_config_microsoft_edgev105~policy~microsoft_edge_microsofteditorproofingenabled,Spell checking provided by Microsoft Editor = Disabled,New,
1.130,Level 1,(L1) Ensure 'Standalone Sidebar Enabled' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - User Experience - v1.0.0,device_vendor_msft_policy_config_microsoft_edgev114~policy~microsoft_edge_standalonehubssidebarenabled,Standalone Sidebar Enabled = Disabled,New,
1.131,Level 1,(L1) Ensure 'Suggest similar pages when a webpage can’t be found' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - User Experience - v1.0.0,device_vendor_msft_policy_config_microsoft_edgev80diff~policy~microsoft_edge_alternateerrorpagesenabled,Suggest similar pages when a webpage can’t be found = Disabled,New,
1.132,Level 1,(L1) Ensure 'Suppress the unsupported OS warning' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - User Experience - v1.0.0,device_vendor_msft_policy_config_microsoft_edge~policy~microsoft_edge_suppressunsupportedoswarning,Suppress the unsupported OS warning = Disabled,New,
1.133,Level 2,(L2) Ensure 'Text prediction enabled by default' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L2 - Microsoft Edge - D - User Experience - v1.0.0,device_vendor_msft_policy_config_microsoft_edgev104~policy~microsoft_edge_textpredictionenabled,Text prediction enabled by default = Disabled,New,
1.134,Level 1,(L1) Ensure 'Wait for Internet Explorer mode tabs to completely unload before ending the browser session' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - User Experience - v1.0.0,device_vendor_msft_policy_config_microsoft_edgev105~policy~microsoft_edge_internetexplorerintegrationalwayswaitforunload,Wait for Internet Explorer mode tabs to completely unload before ending the browser session = Disabled,New,
1.135,Level 1,(L1) Ensure 'Wallet Donation Enabled' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - Password Management - v1.0.0,device_vendor_msft_policy_config_microsoft_edgev115~policy~microsoft_edge_walletdonationenabled,Wallet Donation Enabled = Disabled,New,
3.1.1,Level 1,(L1) Ensure 'Update policy override default' is set to 'Enabled: Automatic silent updates only' or Higher (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - Updates - v1.0.0,device_vendor_msft_policy_config_update~policy~cat_google~cat_googleupdate~cat_applications_pol_defaultupdatepolicy,Update policy override default = Enabled [Policy (Device) = Always allow updates (recommended)],New,CIS: Always allow updates or Automatic silent updates only — Always allow chosen
3.3.1,Level 1,(L1) Ensure 'Auto-update check period override' is set to any value except '0' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - Updates - v1.0.0,device_vendor_msft_policy_config_update~policy~cat_google~cat_googleupdate~cat_preferences_pol_autoupdatecheckperiod,Auto-update check period override = Enabled [Minutes between update checks (Device) = 240],Unchanged,CIS: any value except 0 — v4 value 240 minutes retained
—,Carried forward,Configure Edge Scareware Blocker Protection,Carried from v4.0.0,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edgev134~policy~microsoft_edge~scarewareblocker_scarewareblockerprotectionenabled,Configure Edge Scareware Blocker Protection = Enabled,Carried,No recommendation in this benchmark; retained from Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - Security - v4.0.0
—,Carried forward,Enable renderer code integrity (deprecated),Carried from v4.0.0,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edgev78diff~policy~microsoft_edge_renderercodeintegrityenabled,Enable renderer code integrity (deprecated) = Enabled,Carried,No recommendation in this benchmark; retained from Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - Security - v4.0.0
—,Carried forward,Windows Hello For HTTP Auth Enabled,Carried from v4.0.0,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edgev90~policy~microsoft_edge~httpauthentication_windowshelloforhttpauthenabled,Windows Hello For HTTP Auth Enabled = Enabled,Carried,No recommendation in this benchmark; retained from Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - Security - v4.0.0
—,Carried forward,Microsoft Edge Insider Promotion Enabled,Carried from v4.0.0,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edgev98~policy~microsoft_edge_microsoftedgeinsiderpromotionenabled,Microsoft Edge Insider Promotion Enabled = Disabled,Carried,No recommendation in this benchmark; retained from Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - Security - v4.0.0
—,Carried forward,Allow importing of browsing history,Carried from v4.0.0,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edge~policy~microsoft_edge_importhistory,Allow importing of browsing history = Disabled,Carried,No recommendation in this benchmark; retained from Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - Security - v4.0.0
—,Carried forward,Allow user-level native messaging hosts (installed without admin permissions),Carried from v4.0.0,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edge~policy~microsoft_edge~nativemessaging_nativemessaginguserlevelhosts,Allow user-level native messaging hosts (installed without admin permissions) = Disabled,Carried,No recommendation in this benchmark; retained from Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - Security - v4.0.0
—,Carried forward,Allow installation,Carried from v4.0.0,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - Updates - v1.0.0,device_vendor_msft_policy_config_updateupdates.1~policy~cat_edgeupdate~cat_applications~cat_microsoftedge_pol_allowinstallationmicrosoftedge,Allow installation = Enabled [Install Policy (Device) = Force Installs (Machine-Wide)],Carried,No recommendation in this benchmark; retained from Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - Updates - v4.0.0
—,Carried forward,Prevent Desktop Shortcut creation upon install,Carried from v4.0.0,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - Updates - v1.0.0,device_vendor_msft_policy_config_updatev83diff~policy~cat_edgeupdate~cat_applications~cat_microsoftedge_pol_createdesktopshortcutmicrosoftedge,Prevent Desktop Shortcut creation upon install = Enabled,Carried,No recommendation in this benchmark; retained from Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - Updates - v4.0.0
—,Carried forward,Allow installation,Carried from v4.0.0,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - Updates - v1.0.0,device_vendor_msft_policy_config_updatev87.updates.1~policy~cat_edgeupdate~cat_webview_pol_allowinstallationmicrosoftedgewebview,Allow installation = Enabled [Install Policy (Device) = Force Installs (Machine-Wide)],Carried,No recommendation in this benchmark; retained from Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - Updates - v4.0.0
—,Carried forward,Allow installation,Carried from v4.0.0,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - Updates - v1.0.0,device_vendor_msft_policy_config_updatev87~policy~cat_edgeupdate~cat_webview_pol_allowinstallationmicrosoftedgewebview,Allow installation = Enabled,Carried,No recommendation in this benchmark; retained from Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - Updates - v4.0.0
